timestamp,open,high,low,close,volume
2022-07-25 09:30:00,6974.2,7015.8,6944.0,6946.0,0
2022-07-25 10:00:00,6947.2,6978.2,6938.0,6963.6,0
2022-07-25 10:30:00,6964.6,6974.2,6943.2,6957.4,0
2022-07-25 11:00:00,6956.0,6977.6,6884.8,6890.8,0
2022-07-25 11:30:00,6890.8,6893.4,6883.4,6886.8,0
2022-07-25 13:00:00,6886.6,6898.0,6857.4,6865.8,0
2022-07-25 13:30:00,6866.0,6888.6,6850.0,6864.4,0
2022-07-25 14:00:00,6866.4,6901.6,6860.4,6882.2,0
2022-07-25 14:30:00,6882.2,6912.4,6863.2,6873.0,0
2022-07-25 15:00:00,6872.8,6878.6,6871.0,6878.6,0
2022-07-26 09:30:00,6898.0,6904.8,6845.0,6883.4,0
2022-07-26 10:00:00,6884.4,6944.8,6881.4,6929.4,0
2022-07-26 10:30:00,6930.0,6956.0,6917.2,6945.2,0
2022-07-26 11:00:00,6944.2,6994.0,6934.0,6969.0,0
2022-07-26 11:30:00,6969.6,6969.6,6965.8,6969.0,0
2022-07-26 13:00:00,6966.0,6974.2,6950.8,6959.0,0
2022-07-26 13:30:00,6959.8,6961.0,6930.6,6947.2,0
2022-07-26 14:00:00,6947.8,6970.8,6939.4,6956.0,0
2022-07-26 14:30:00,6957.0,6981.2,6954.4,6980.8,0
2022-07-26 15:00:00,6980.8,6991.6,6980.8,6991.0,0
2022-07-27 09:30:00,6982.0,7002.2,6965.2,6999.6,0
2022-07-27 10:00:00,7000.4,7046.6,6994.2,7033.2,0
2022-07-27 10:30:00,7032.6,7036.8,7014.8,7025.2,0
2022-07-27 11:00:00,7023.8,7043.2,7016.4,7026.8,0
2022-07-27 11:30:00,7025.6,7027.0,7022.6,7023.4,0
2022-07-27 13:00:00,7024.8,7032.8,7012.0,7016.2,0
2022-07-27 13:30:00,7016.2,7055.8,7015.8,7055.6,0
2022-07-27 14:00:00,7054.2,7074.4,7053.0,7063.0,0
2022-07-27 14:30:00,7062.6,7065.0,7047.2,7063.2,0
2022-07-27 15:00:00,7063.2,7066.8,7062.2,7066.2,0
2022-07-28 09:30:00,7110.0,7124.8,7073.6,7091.8,0
2022-07-28 10:00:00,7092.0,7152.0,7072.4,7141.6,0
2022-07-28 10:30:00,7143.0,7171.4,7131.6,7158.6,0
2022-07-28 11:00:00,7159.8,7165.0,7125.0,7125.0,0
2022-07-28 11:30:00,7125.6,7126.4,7120.0,7124.8,0
2022-07-28 13:00:00,7125.8,7132.2,7101.0,7125.2,0
2022-07-28 13:30:00,7125.2,7139.4,7121.0,7130.0,0
2022-07-28 14:00:00,7130.0,7130.0,7095.0,7102.2,0
2022-07-28 14:30:00,7103.8,7125.8,7101.8,7115.4,0
2022-07-28 15:00:00,7114.4,7120.0,7114.2,7119.0,0
2022-07-29 09:30:00,7130.0,7152.0,7105.8,7150.0,0
2022-07-29 10:00:00,7147.4,7152.0,7078.2,7080.8,0
2022-07-29 10:30:00,7080.8,7104.4,7073.6,7094.0,0
2022-07-29 11:00:00,7094.2,7119.4,7081.2,7081.2,0
2022-07-29 11:30:00,7081.0,7087.4,7081.0,7084.0,0
2022-07-29 13:00:00,7084.0,7095.0,7068.8,7083.0,0
2022-07-29 13:30:00,7086.2,7119.0,7076.6,7104.2,0
